A,B,C,D,F
42,45,1,2,3
38,39,1,12,3
53,3,0,8,5
67,57,1,7,5
54,67,2,5,3
18,12,2,10,1
69,24,1,9,2
41,20,0,3,5
4,44,1,10,4
17,14,1,11,3
16,37,1,6,3
15,38,1,9,1
28,66,3,10,0
51,40,1,11,5
42,62,0,6,1
53,68,3,2,2
17,48,3,3,5
42,61,1,11,0
57,46,1,4,0
27,14,1,3,1
18,52,3,8,2
56,39,1,2,3
28,51,0,4,1
28,61,2,11,0
7,31,0,10,3
22,10,1,9,2
36,18,0,0,1
25,67,1,8,4
1,60,0,10,1
12,21,2,1,2
70,6,0,2,2
7,17,0,4,5
40,70,3,1,4
26,35,2,7,5
29,30,0,10,2
34,3,2,4,0
53,48,1,8,3
60,37,0,0,0
32,58,1,12,0
47,64,0,12,1
29,50,3,0,4
60,51,2,6,4
44,62,0,3,2
21,53,2,3,4
64,25,2,1,0
53,55,1,7,2
13,61,0,3,5
10,38,0,12,2
44,30,2,12,2
45,55,2,3,4
26,40,2,12,0
55,41,1,12,3
54,64,2,6,2
60,14,1,4,3
52,2,2,1,4
20,0,3,3,2
69,61,2,5,1
29,41,3,2,4
65,3,0,9,2
26,38,0,8,2
46,50,3,8,4
45,70,0,8,5
51,5,0,8,4
68,30,3,7,1
38,20,3,6,1
55,38,0,6,4
63,32,2,11,1
1,55,0,11,2
17,20,3,2,3
14,35,2,11,4
59,53,2,1,2
45,9,0,4,5
63,39,0,0,2
3,70,2,9,5
20,31,0,8,4
39,14,1,10,2
0,41,0,6,5
49,42,3,9,3
39,58,3,9,3
68,28,3,9,5
49,24,1,5,2
44,69,3,8,0
35,28,1,11,0
27,21,1,4,0
19,36,0,1,3
28,37,3,6,2
13,37,1,1,0
8,61,3,9,1
51,58,3,12,2
24,37,3,4,0
40,15,1,0,1
39,53,3,4,1
69,24,1,3,4
33,4,1,8,1
58,44,2,3,5
37,1,2,5,1
21,16,2,3,4
67,12,0,2,0
60,28,2,4,1
56,35,0,6,0
37,27,0,5,5
57,15,0,7,5
28,62,3,7,4
48,48,3,8,4
18,52,2,8,3
20,67,0,12,0
24,5,0,1,0
46,66,3,9,0
24,18,0,1,2
8,8,3,2,4
42,17,0,0,5
34,42,0,1,5
14,68,2,2,3
41,44,3,2,0
34,61,0,3,2
4,1,2,2,4
42,55,2,5,5
37,35,1,12,2
23,61,3,5,4
65,26,0,10,5
37,38,1,7,4
20,5,3,3,1
40,15,2,1,0
7,59,1,11,5
43,50,0,12,4
5,47,0,7,0
1,60,2,6,3
61,67,3,2,2
39,69,1,4,5
57,57,1,8,1
49,17,3,0,3
12,29,0,8,2
44,54,3,6,0
47,38,0,7,2
17,10,3,1,1
24,5,0,11,0
25,39,0,9,4
49,37,2,2,0
34,59,2,12,0
54,34,1,3,4
58,8,3,0,4
28,57,3,5,3
26,30,3,8,5
1,34,3,5,2
45,27,1,9,1
66,15,2,4,4
15,57,1,12,4
49,44,3,0,2
64,32,2,12,2
62,56,3,10,2
33,19,2,9,1
2,52,0,5,0
70,25,3,6,4
62,19,0,5,2
21,21,2,2,0
59,28,2,7,0
16,26,1,10,3
6,64,2,3,0
35,69,3,5,5
48,64,3,5,4
7,53,3,5,5
10,45,3,2,4
0,10,2,6,3
11,35,2,10,3
7,44,2,10,1
17,64,1,12,1
2,69,1,2,0
51,40,2,3,1
56,12,2,2,1
56,36,2,11,1
61,15,0,9,5
31,38,1,6,2
3,51,3,10,2
6,17,0,7,3
5,14,3,3,0
21,30,1,12,1
11,24,2,7,4
60,41,3,11,4
6,8,3,9,0
17,1,3,12,3
43,30,0,2,3
5,58,2,4,2
29,42,2,8,3
66,60,1,3,0
47,25,3,4,4
65,62,1,4,4
6,68,1,8,3
22,21,1,5,3
11,6,0,6,4
28,61,1,7,5
29,26,1,8,2
53,16,3,2,1
70,7,2,9,5
18,41,2,7,2
8,37,1,6,3
45,25,3,3,3
64,48,0,0,5
54,29,3,3,2
46,20,2,2,3
13,42,0,2,4
10,59,3,12,5
10,57,2,6,1
53,16,1,6,2
8,27,0,2,0
35,65,3,8,1
37,49,1,2,1
44,39,2,5,4
9,9,2,0,2
31,3,0,11,5
36,40,2,7,4
29,0,2,3,1
29,16,0,9,1
24,18,2,1,3
62,43,2,11,4
68,8,1,6,4
56,14,0,0,4
47,2,0,3,1
52,48,3,10,2
14,23,3,11,5
48,0,0,8,0
51,9,3,6,0
5,45,3,4,2
21,21,3,3,4
12,21,3,2,5
40,38,1,9,3
37,63,0,8,2
23,23,0,8,1
30,46,0,7,1
29,7,2,3,1
47,0,3,6,1
51,27,2,3,5
66,38,1,10,4
42,64,0,10,5
29,40,2,2,4
60,15,0,5,2
5,57,3,12,0
4,0,3,1,4
53,28,0,4,0
19,45,3,8,2
5,53,2,10,5
67,22,3,1,2
1,15,0,12,2
50,60,2,2,1
41,61,0,7,3
52,46,2,12,3
23,39,3,1,2
60,36,3,9,3
60,19,1,0,2
34,57,3,2,3
6,59,1,11,4
21,46,1,0,2
63,10,0,5,4
35,42,3,0,2
54,39,1,9,5
26,67,1,1,0
66,55,3,7,1
42,60,3,0,5
13,68,2,8,2
17,38,1,2,4
35,19,1,4,4
3,46,3,12,2
59,46,2,5,2
38,61,2,12,1
50,30,3,1,2
15,0,3,10,5
51,16,1,11,3
57,68,2,1,5
27,13,1,2,3
13,54,3,9,2
27,6,0,6,3
21,60,2,6,2
15,60,1,2,3
11,1,1,10,0
42,7,1,1,3
52,39,0,7,5
12,51,1,5,4
18,63,3,11,1
67,10,1,6,1
68,22,3,5,2
28,61,1,5,2
8,35,0,11,0
31,59,2,9,2
43,36,0,12,1
43,44,3,5,3
43,7,3,0,5
16,60,0,11,2
11,41,0,2,2
32,53,3,9,3
44,36,2,0,4
49,44,2,4,1
40,21,2,9,1
16,8,2,10,4
65,34,0,10,5
15,67,0,11,2
67,5,3,5,1
60,57,1,10,5
66,63,3,9,2
0,11,0,8,1
60,61,0,8,1
0,11,3,3,2
54,70,2,1,0
8,0,2,1,5
30,62,1,12,4
44,29,0,2,1
9,3,1,11,4
64,13,0,10,0
25,69,2,7,3
29,42,0,11,2
9,37,3,2,2
51,50,2,9,1
62,70,0,6,0
42,25,1,8,4
23,68,2,11,2
52,53,1,9,5
33,44,0,5,2
34,27,3,11,2
38,1,2,1,4
32,34,1,6,4
20,46,1,8,4
30,58,0,3,4
14,60,0,10,0
61,32,1,7,4
39,35,0,10,5
7,10,3,7,2
47,29,3,3,5
57,51,3,5,4
5,9,1,7,1
67,20,1,6,3
22,36,3,8,2
63,5,0,7,4
35,43,3,3,3
29,32,2,8,4
25,24,3,4,4
4,66,0,11,2
48,55,3,11,1
14,67,0,1,4
17,30,2,8,3
66,37,0,10,1
24,34,3,5,3
59,10,1,0,2
53,1,2,8,3
42,25,3,2,3
21,39,2,7,3
8,45,1,9,1
47,60,2,6,4
53,13,3,8,5
52,9,0,0,4
41,57,1,7,0
52,49,3,10,3
45,54,1,5,4
51,36,1,10,3
3,23,2,11,3
10,65,1,5,3
11,5,2,7,0
21,33,2,8,1
53,42,3,10,1
44,1,0,9,3
32,25,3,7,0
1,62,2,10,3
25,52,0,2,3
69,3,2,4,5
24,29,2,2,3
21,53,0,9,3
0,55,1,7,3
47,12,0,9,1
6,26,1,6,3
29,6,0,6,4
45,62,1,12,2
59,27,0,11,1
5,34,3,4,1
11,44,0,10,1
55,24,0,10,3
45,15,2,2,0
10,69,2,8,1
24,12,0,8,5
17,14,1,11,0
68,58,2,8,2
37,17,1,12,4
4,2,3,5,0
10,52,1,4,0
49,42,0,7,2
27,12,3,9,1
46,5,0,8,3
25,67,3,7,3
12,39,2,4,0
40,59,2,7,5
11,10,0,11,1
70,39,2,8,4
56,60,1,2,5
37,4,2,12,4
49,30,2,10,5
35,30,1,6,3
6,70,2,4,1
47,28,0,6,0
68,36,2,9,3
17,42,2,9,1
57,6,2,7,4
70,45,3,12,5
28,69,3,0,2
67,23,3,8,2
49,8,3,5,1
7,26,0,3,0
46,21,1,8,4
6,4,1,5,1
54,31,2,6,3
62,19,0,9,1
17,30,3,6,0
66,58,3,4,5
5,44,0,5,0
50,15,0,12,2
49,43,1,5,2
30,61,1,9,0
15,35,1,0,1
67,11,1,12,3
33,57,3,4,5
47,17,3,6,1
65,8,0,2,2
53,18,3,5,5
5,46,1,11,1
13,56,3,9,1
30,24,2,0,0
1,23,1,0,2
3,46,0,2,1
32,47,0,5,3
51,60,0,10,2
18,22,1,5,4
36,28,2,8,3
1,37,1,8,1
35,51,1,8,2
12,65,0,1,3
64,42,0,3,3
15,22,3,0,2
18,14,0,10,1
11,25,2,5,0
1,4,0,6,4
21,56,2,2,5
17,2,2,2,0
48,21,3,2,1
7,32,0,12,4
21,44,1,0,3
12,47,0,7,4
58,57,3,5,4
17,61,2,10,0
30,21,2,5,2
51,8,3,6,5
63,20,1,2,1
70,35,0,3,5
28,12,2,8,4
2,18,3,10,5
61,10,3,5,1
48,52,0,6,1
38,55,0,8,0
9,4,1,1,4
66,56,0,2,1
60,49,0,7,2
17,67,3,6,2
67,2,1,2,5
61,49,3,5,2
48,34,2,7,5
27,52,1,3,1
51,67,3,2,5
63,31,2,10,3
65,64,2,0,1
1,47,3,5,2
69,56,3,8,0
52,17,1,10,2
56,4,0,3,2
13,3,0,3,1
6,0,0,2,1
5,13,3,4,0
27,21,0,4,5
51,70,0,4,0
70,24,2,4,4
51,61,2,7,0
19,44,1,5,5
19,15,1,11,2
9,59,3,0,5
35,68,1,11,5
19,59,1,10,4
2,0,2,2,5
20,28,0,8,5
33,41,0,0,0
48,13,1,1,3
31,33,2,12,5
40,3,3,9,1
7,69,1,1,5
47,66,2,5,0
1,15,3,0,5
35,56,1,8,0
45,1,0,10,3
62,25,0,2,3
46,4,2,5,3
26,47,3,0,1
58,17,1,8,5
35,39,3,2,4
54,4,3,10,3
5,51,3,9,3
39,68,1,8,2
1,54,0,9,1
55,20,0,11,5
34,25,3,3,4
12,67,1,4,5
20,0,1,2,4
69,18,0,10,3
12,32,0,9,4
61,33,2,5,4
8,43,2,6,2
51,9,1,9,2
60,16,3,11,1
12,47,2,9,2
66,49,0,10,5
59,65,2,11,5
10,25,3,9,5
21,7,3,12,1
62,70,2,5,1
9,35,0,3,4
37,11,3,5,2
52,41,1,0,1
63,10,2,7,1
32,22,3,8,2
23,21,2,5,4
45,12,1,1,4
36,24,2,7,2
10,60,1,11,5
41,54,0,4,2
26,31,0,2,3
36,24,1,7,2
26,55,2,6,3
38,11,0,4,0
1,19,3,8,5
42,4,2,2,1
42,65,3,4,0
43,35,1,6,5
26,16,2,9,1
48,39,2,2,2
57,53,2,0,0
27,17,3,4,5
42,46,3,7,5
65,60,2,1,5
49,29,1,10,2
27,11,1,9,0
27,24,1,1,5
65,65,0,12,4
18,14,3,8,3
46,45,3,10,5
63,42,3,6,1
35,35,1,9,0
45,30,0,9,2
8,49,1,0,3
33,58,2,7,4
54,37,0,12,2
25,70,1,12,1
1,59,3,6,1
42,12,3,12,0
53,17,3,3,4
12,53,1,6,3
10,48,2,10,1
27,0,2,6,1
69,5,2,8,4
28,8,3,9,1
20,2,3,9,0
8,67,3,6,2
53,5,3,8,0
67,51,1,12,2
46,69,0,5,3
68,32,3,3,5
19,30,1,9,2
53,56,0,12,2
32,52,0,0,4
33,4,0,7,4
62,69,0,3,1
40,7,1,3,3
12,45,1,5,4
36,54,1,3,3
31,51,1,7,1
6,51,1,11,0
31,33,1,9,5
7,29,0,4,3
42,43,3,5,0
13,13,0,9,2
35,29,3,2,2
36,44,3,0,2
62,52,0,12,0
29,13,0,6,0
61,29,0,8,4
34,11,0,3,4
68,35,2,1,5
68,13,2,5,3
41,68,1,11,0
37,48,0,11,4
1,12,2,12,5
48,28,1,5,5
36,19,3,11,0
7,40,2,9,3
31,31,0,9,1
23,46,0,9,5
8,4,0,6,0
42,57,0,3,2
0,12,2,6,3
55,15,2,2,1
55,42,2,4,3
4,24,3,3,4
4,39,0,7,2
37,12,2,12,4
48,7,3,5,0
43,1,2,3,1
33,26,0,12,4
62,13,0,12,2
0,45,1,6,1
62,36,3,7,3
48,4,0,1,2
3,59,2,11,4
62,9,1,5,2
29,57,1,0,1
51,46,0,7,4
22,38,2,0,2
56,17,0,11,4
13,42,2,2,1
58,26,3,4,1
65,67,1,4,5
0,21,1,11,4
49,27,1,6,5
8,32,1,10,0
62,34,1,9,3
46,30,1,12,3
29,58,1,12,5
44,57,2,4,0
61,7,2,5,3
57,62,3,5,4
62,50,2,9,4
30,59,2,5,4
31,36,2,10,3
24,17,3,10,0
46,70,3,0,4
40,49,1,9,0
13,23,1,8,2
44,33,1,11,0
26,6,2,12,2
47,64,1,4,5
49,8,0,7,2
25,6,3,9,5
40,69,2,10,4
43,35,3,7,0
59,7,1,6,4
35,50,1,10,1
34,64,2,5,1
31,45,3,11,2
51,3,0,11,2
37,9,3,7,1
63,61,1,5,1
66,24,1,4,5
41,21,0,11,1
3,45,1,6,5
29,62,0,5,0
49,48,3,9,5
67,53,0,10,1
49,57,1,6,2
8,60,0,8,1
54,4,1,3,4
58,41,1,10,2
6,35,1,11,0
23,58,0,8,2
38,2,1,9,1
14,1,1,6,5
27,66,0,7,0
63,26,1,1,5
48,5,3,10,2
10,46,0,4,0
1,1,3,2,2
35,6,1,11,1
57,41,1,2,3
21,2,0,5,2
24,66,1,3,5
49,49,0,7,0
1,15,3,1,2
20,30,3,6,1
7,30,1,3,5
65,27,0,5,4
52,37,3,6,5
20,48,0,7,5
30,58,3,1,2
29,45,1,9,0
29,58,1,7,4
54,64,3,4,5
24,39,0,0,1
63,28,3,6,0
67,7,2,1,4
43,32,1,2,3
60,47,2,4,3
57,40,2,3,3
37,22,1,6,4
2,60,1,11,2
24,49,3,3,2
39,39,2,11,2
43,18,0,2,0
64,15,2,9,4
59,44,0,1,2
54,14,2,0,4
19,35,1,0,1
30,21,0,2,0
33,57,1,11,0
47,10,3,0,2
65,11,3,5,5
4,51,3,9,5
48,6,0,2,5
65,27,3,8,2
42,43,2,11,4
30,46,1,2,2
15,25,3,11,4
58,19,2,8,0
52,18,0,11,4
64,69,2,7,0
52,2,0,10,3
6,10,3,9,4
9,21,1,3,2
52,18,2,2,0
59,5,0,5,4
67,26,0,3,2
37,5,3,9,0
1,33,0,3,1
62,48,1,2,2
25,37,0,2,1
48,11,2,11,4
34,2,3,3,1
5,49,0,11,0
6,64,2,8,1
20,0,3,0,5
39,48,3,4,2
31,42,1,7,4
44,8,2,6,0
26,17,0,4,1
26,65,1,2,5
28,0,3,1,5
66,17,1,9,3
61,13,0,4,5
54,47,2,7,2
25,7,3,1,1
64,61,2,0,0
57,0,3,0,4
49,30,0,7,3
69,48,0,2,3
51,65,1,1,0
0,23,3,8,4
60,35,1,0,0
34,69,1,2,3
15,44,0,0,2
0,31,0,4,1
54,10,3,1,5
17,40,0,1,5
26,49,1,9,5
12,28,1,12,0
68,57,1,4,2
37,35,0,11,4
2,40,3,2,2
31,25,3,1,4
36,30,0,12,1
8,47,1,11,4
29,36,1,6,4
32,65,2,0,2
31,33,0,7,3
26,42,3,3,2
4,28,2,7,4
44,61,1,0,0
53,27,0,7,2
55,49,0,6,3
14,48,3,12,0
65,29,1,7,4
40,70,0,10,5
66,44,2,5,5
59,10,1,4,5
19,43,3,12,2
67,34,2,5,4
0,37,2,1,0
19,13,3,6,4
49,50,2,4,3
33,30,0,4,4
41,51,2,7,1
60,1,3,7,5
55,9,2,3,1
7,8,2,11,5
54,51,1,10,3
4,35,0,5,0
13,31,1,0,0
13,38,3,10,0
47,36,2,12,0
68,5,2,2,5
56,41,1,5,3
12,22,2,12,2
42,59,2,9,0
31,14,0,0,3
40,64,2,9,4
70,12,0,3,3
66,46,0,10,0
45,25,3,12,2
54,52,1,8,0
44,57,2,6,0
45,46,1,9,2
54,3,1,4,5
6,61,1,5,4
25,61,3,9,4
13,4,2,3,1
17,28,0,5,2
40,13,3,9,4
26,35,3,11,2
6,66,3,7,4
55,30,2,9,3
67,60,0,2,5
26,6,2,7,0
15,57,1,3,2
36,32,1,0,3
20,58,3,11,2
40,29,2,7,2
33,37,3,3,2
55,3,1,10,3
28,57,2,8,2
32,59,1,5,1
17,46,3,5,5
2,42,3,6,0
46,17,2,10,4
48,9,1,1,2
46,60,0,4,1
29,20,3,2,1
40,13,1,9,1
4,68,3,6,5
22,68,3,9,3
35,70,0,6,2
22,15,3,7,1
2,63,1,5,5
63,63,3,12,1
2,8,2,0,2
66,36,2,10,5
32,52,0,2,1
10,23,3,7,4
38,15,1,6,0
27,12,0,12,3
52,34,3,4,4
64,31,0,2,1
66,18,1,1,1
70,41,2,3,4
6,67,3,10,3
27,57,2,10,3
10,24,3,11,4
9,48,0,4,4
48,57,2,11,2
31,46,1,4,3
57,52,3,3,1
38,47,2,12,0
11,51,2,6,4
6,65,3,12,4
21,13,1,9,5
51,38,1,4,2
23,10,1,6,3
32,52,1,12,4
70,12,3,5,0
31,43,2,11,2
6,20,0,9,1
15,15,2,12,1
1,51,1,9,5
3,30,3,4,4
61,48,3,10,4
48,15,0,8,0
54,54,0,1,2
60,40,3,2,4
35,62,2,1,1
36,61,3,10,0
24,15,2,12,2
55,56,2,8,5
21,51,0,8,2
54,60,0,11,0
66,51,3,0,5
43,10,2,9,2
55,14,3,7,2
70,20,3,7,2
65,56,2,7,2
46,38,2,3,2
28,69,3,10,3
58,64,1,8,0
57,9,1,2,5
36,11,1,9,3
7,23,1,2,1
10,21,3,9,1
67,69,0,1,0
55,23,1,4,1
30,3,2,3,5
43,48,1,5,2
59,23,3,12,5
33,34,2,9,4
40,55,0,3,3
47,33,2,5,4
69,66,2,8,5
35,10,3,12,5
38,5,3,10,2
39,34,3,3,1
42,31,1,1,3
33,13,0,7,3
54,57,2,8,3
70,6,2,9,0
37,65,2,12,2
20,37,0,6,1
52,48,2,5,4
47,49,3,10,4
31,22,2,5,3
69,1,0,5,1
14,32,0,0,0
10,37,3,3,3
9,49,2,3,4
10,20,2,5,4
49,16,0,4,0
34,17,1,10,1
32,32,2,2,4
54,37,3,9,0
21,28,3,1,3
41,68,1,4,1
67,22,3,3,0
21,27,1,0,2
45,20,2,6,3
33,21,0,5,2
52,19,2,2,1
15,64,3,10,2
19,22,2,9,5
49,13,1,9,2
28,31,1,3,5
28,67,0,7,5
23,69,2,9,1
41,6,0,8,4
6,10,1,8,4
33,67,0,1,4
19,11,0,3,0
50,63,2,12,0
62,15,0,6,5
38,50,1,10,0
27,50,3,8,3
15,52,2,7,1
8,42,3,1,0
2,49,2,3,5
8,45,0,5,5
41,58,2,5,2
19,61,3,2,1
3,21,2,7,0
50,13,2,2,4
12,7,2,9,0
14,37,2,10,2
4,15,1,0,1
65,69,3,0,0
44,20,0,2,4
24,52,2,1,5
55,20,2,11,1
1,65,1,10,2
63,46,1,10,0
19,7,3,5,0
16,43,0,10,1
2,7,1,5,5
19,37,2,12,4
43,43,2,0,2
40,34,1,8,5
53,3,0,4,5
22,58,3,2,5
13,47,2,7,0
34,36,3,11,5
18,52,0,2,2
18,48,3,6,3
15,40,3,1,1
3,33,1,12,3
9,57,2,0,0
54,61,2,12,1
29,9,3,8,5
15,56,3,4,3
34,60,0,5,1
0,51,2,6,5
58,28,2,7,0
37,48,3,6,0
6,64,1,6,3
32,10,0,6,5
54,42,0,10,1
45,31,0,2,1
53,36,0,9,1
70,8,2,12,1
31,24,1,7,4
9,0,1,5,1
39,64,0,5,0
28,54,1,9,4
17,46,3,12,4
45,57,2,5,1
69,56,1,3,0
46,18,3,2,0
25,24,0,6,0
47,43,0,5,0
10,16,3,0,0
43,6,3,12,2
9,60,3,6,5
68,44,3,4,2
12,45,1,4,5
36,68,3,3,1
49,9,3,2,5
8,68,2,5,1
27,70,1,12,0
46,64,1,12,3
44,0,1,9,2
22,39,0,1,2
44,28,0,8,0
45,54,3,4,0
10,54,2,9,0
17,27,1,10,1
11,9,2,2,0
42,1,3,0,5
66,24,0,10,1
50,47,3,0,3
21,69,2,7,0
0,14,1,12,5
50,8,2,3,4
64,57,1,10,2
12,26,0,9,1
20,3,0,2,3
40,29,3,8,0
15,32,0,2,1
35,42,2,8,3
55,36,3,5,1
70,34,1,9,5
50,35,2,7,2
41,22,3,8,4
70,55,2,12,0
0,62,0,11,3
34,44,0,3,0
4,16,2,6,1
53,16,2,1,5
6,15,2,5,1
18,18,2,0,1
36,62,0,9,3
26,26,0,3,1
19,46,1,4,4
50,3,0,12,3
8,47,0,12,3
43,38,0,8,1
29,25,1,9,4
1,23,1,2,5
44,0,2,7,4
