A,B
60,21
27,10
56,59
21,24
39,8
11,50
4,18
14,26
39,51
44,51
10,60
58,25
61,62
65,26
20,29
20,29
63,53
70,42
34,18
54,56
36,2
24,59
66,52
32,47
64,1
52,29
22,61
46,46
64,17
50,11
39,59
51,37
43,39
53,5
65,45
59,3
58,69
58,11
3,59
65,27
67,48
14,27
44,46
43,54
41,15
25,48
4,58
23,58
70,46
16,34
0,60
32,10
56,41
15,55
11,48
35,38
53,27
40,60
37,10
33,1
68,43
4,50
1,12
1,32
32,44
57,43
34,67
28,49
35,64
62,0
37,32
52,63
24,19
49,56
57,33
1,69
20,69
35,48
13,37
25,44
46,13
68,31
67,54
28,0
7,12
15,10
7,28
3,66
12,26
20,0
0,42
9,4
14,47
42,20
67,7
11,12
39,12
15,68
49,65
8,44
0,2
5,14
23,61
27,28
31,49
5,2
1,41
50,53
46,68
4,30
28,43
13,0
9,48
13,50
62,55
41,68
40,67
14,65
6,64
25,54
51,47
52,55
67,45
4,70
70,1
56,27
1,52
1,17
34,14
7,57
66,45
49,58
49,64
8,55
13,18
47,60
40,22
14,37
34,55
36,7
10,3
37,30
7,3
20,34
10,62
25,18
38,49
18,54
38,50
16,68
41,14
48,50
24,54
41,6
33,3
17,7
9,61
10,43
2,31
6,42
7,6
20,21
2,50
56,10
21,44
40,50
63,5
52,18
59,69
30,10
22,1
58,68
44,55
9,12
57,52
0,18
44,16
56,18
40,5
56,60
14,35
58,6
34,51
7,30
20,32
31,67
6,27
63,60
46,38
21,55
12,45
52,22
23,27
13,22
43,20
53,59
10,56
51,57
68,0
35,58
26,54
37,65
19,50
33,21
6,9
18,10
50,18
41,29
31,18
68,50
49,50
24,64
20,45
34,8
5,48
27,11
36,63
55,66
69,10
68,69
29,62
8,60
50,67
66,50
28,37
52,30
4,46
10,64
56,36
24,27
50,20
62,0
34,29
66,59
24,54
41,18
55,65
55,1
54,47
16,32
18,64
63,62
70,31
8,55
0,25
15,24
45,38
43,3
24,67
1,66
67,14
18,49
67,28
13,16
64,4
57,16
61,0
39,33
34,12
8,58
22,23
8,10
13,7
63,49
4,48
12,18
25,21
59,39
17,4
43,61
64,62
59,17
46,44
40,49
25,30
35,13
65,66
46,53
47,2
3,5
3,52
4,19
62,53
6,18
59,60
9,48
7,39
69,19
40,57
15,22
35,34
67,37
33,20
19,46
19,32
22,16
61,20
60,34
40,15
60,14
30,59
0,48
17,33
6,12
54,21
21,13
32,25
19,49
6,22
18,16
29,18
42,40
67,49
62,10
57,30
29,60
20,63
17,10
64,16
48,8
7,67
48,5
1,68
11,40
0,37
67,48
3,53
38,14
16,55
67,68
31,30
19,48
4,10
29,51
49,26
58,68
8,14
5,57
20,70
69,4
61,47
60,45
1,48
11,58
38,20
9,32
15,7
22,32
70,66
6,62
52,33
23,20
0,48
38,45
33,58
57,5
17,35
0,45
23,8
40,28
48,23
7,70
48,32
40,10
3,23
17,34
11,11
31,38
61,29
0,58
1,9
28,28
1,67
34,66
31,69
39,45
34,17
41,64
19,20
33,23
9,0
14,16
49,25
31,3
17,36
28,61
54,7
17,66
22,21
3,4
24,14
57,35
4,32
63,6
40,29
13,58
2,68
19,48
68,35
35,29
16,52
20,44
22,47
52,48
29,25
45,19
40,70
42,48
40,55
21,5
17,12
54,35
63,13
63,60
33,25
30,32
28,24
24,44
43,46
61,6
43,35
5,46
15,27
42,27
33,43
67,4
8,65
16,19
50,1
63,70
47,37
64,58
45,68
33,50
58,2
23,46
11,59
40,63
42,48
61,10
20,56
11,54
27,1
3,55
70,49
49,18
22,25
1,46
52,35
63,38
54,18
19,17
47,59
6,68
45,33
42,45
24,19
57,70
35,13
14,46
30,65
24,25
40,42
45,7
48,69
20,18
58,10
23,34
66,41
27,3
3,30
28,11
12,48
50,39
17,18
63,7
27,48
22,18
31,40
29,56
60,13
18,10
5,54
33,2
61,69
64,59
26,37
30,15
46,19
24,31
49,40
60,26
48,23
24,8
17,16
70,50
43,57
18,65
41,57
22,28
4,41
56,43
37,57
51,60
16,14
43,43
22,61
45,11
45,24
58,35
55,6
37,60
46,18
0,35
33,34
14,22
66,41
34,44
64,17
51,23
40,45
45,31
22,23
56,60
34,28
69,25
54,13
12,28
62,4
6,49
66,41
42,15
30,38
13,36
30,0
54,53
27,38
5,65
25,42
36,65
68,33
6,61
15,45
43,24
40,70
31,55
15,49
57,40
31,65
7,45
59,30
37,15
48,26
39,39
54,20
41,64
29,33
18,8
63,53
56,14
8,62
17,32
53,50
10,13
23,12
29,57
22,48
44,36
35,58
18,0
62,49
69,47
6,33
9,15
41,25
4,67
32,47
50,29
21,49
45,7
0,46
41,63
37,21
11,67
70,65
21,2
52,15
46,13
21,32
12,16
25,32
31,25
55,38
10,68
38,8
13,46
68,68
5,32
16,55
1,60
20,36
33,16
13,61
54,60
70,1
56,52
19,58
10,9
62,1
70,69
57,67
56,2
60,46
34,4
14,14
4,4
12,37
12,60
49,63
58,33
70,49
8,51
34,36
47,67
66,58
63,6
52,36
31,69
54,47
28,48
70,67
57,36
54,26
2,36
16,50
21,16
46,51
31,70
35,59
3,38
55,51
38,35
19,17
52,47
38,70
15,50
30,26
58,28
37,32
65,56
66,37
2,6
60,16
12,15
65,12
47,58
3,57
40,47
28,54
25,3
49,48
23,53
24,68
52,55
19,4
14,66
33,3
58,16
17,1
49,46
12,56
3,31
42,40
49,59
23,32
22,45
59,9
17,60
35,46
17,39
55,36
6,12
49,10
64,11
4,25
4,30
34,16
51,24
9,30
4,4
27,39
70,17
2,45
45,7
39,70
23,39
40,9
49,18
15,15
20,9
50,31
11,17
19,12
58,41
48,52
57,37
49,2
63,18
16,1
37,15
14,53
65,41
46,28
21,14
29,49
5,6
49,46
23,13
12,50
32,20
49,54
44,58
37,41
59,28
68,10
65,59
33,63
27,40
26,66
15,66
49,34
53,63
20,1
51,31
30,68
57,55
32,33
49,22
13,34
27,35
12,44
2,42
41,26
6,37
6,52
45,52
37,55
47,38
9,24
46,37
27,63
63,56
5,21
25,46
29,61
37,44
5,31
57,50
67,64
2,29
30,55
45,53
17,18
21,56
59,49
30,27
28,57
30,30
38,63
22,37
27,70
13,0
22,53
60,9
70,21
19,53
41,40
8,22
33,48
55,35
57,21
28,12
16,14
64,44
65,50
1,37
10,13
64,68
28,42
70,68
56,30
68,5
37,64
28,30
17,69
29,61
25,13
66,25
50,53
51,10
50,32
23,64
29,64
51,14
21,55
17,67
49,67
63,11
11,49
36,0
62,61
49,44
70,14
16,60
7,32
23,31
29,47
69,69
64,56
9,45
34,43
38,16
61,52
51,31
15,44
33,20
19,1
11,61
29,6
37,11
48,23
60,34
33,38
18,68
50,7
67,51
59,49
20,52
10,67
45,42
42,0
39,13
29,60
58,23
29,13
17,1
66,40
13,3
31,50
10,43
30,6
7,16
52,66
27,59
42,16
66,34
40,30
55,1
16,45
43,7
21,10
22,60
57,42
68,14
49,23
42,5
8,5
15,7
9,65
39,6
60,36
1,9
43,7
31,53
41,6
12,70
15,70
60,20
54,39
62,49
42,6
19,19
62,40
28,66
23,35
39,34
57,11
1,61
43,63
39,8
50,58
4,66
13,49
29,33
60,53
38,14
1,54
20,58
67,60
69,70
11,19
29,32
29,62
27,32
27,11
18,21
33,18
67,49
5,68
52,48
46,11
3,28
21,31
19,19
23,68
13,49
59,36
70,53
8,30
14,58
69,46
6,43
56,30
44,30
43,58
68,5
64,65
1,49
68,52
24,5
31,63
2,48
65,25
66,1
36,0
4,24
53,61
0,63
44,70
14,49
29,37
20,62
17,38
32,33
10,69
55,60
41,13
27,27
46,14
31,37
42,9
26,64
9,10
20,65
39,1
11,63
35,63
64,8
55,17
23,25
66,40
3,46
64,26
34,7
40,34
47,13
31,65
44,7
34,5
15,29
46,61
52,58
28,26
44,25
47,40
18,62
1,4
11,6
10,18
11,39
35,2
7,21
41,39
68,50
2,51
24,51
46,50
18,34
68,69
65,45
39,32
64,64
63,28
1,32
50,67
5,7
37,50
42,60
24,18
13,62
42,37
12,46
66,60
23,30
11,14
4,14
1,25
28,55
46,58
24,25
55,8
7,48
4,64
45,59
31,25
63,40
39,1
48,60
60,2
36,19
43,66
40,15
8,9
15,44
64,7
18,56
0,40
63,30
17,9
46,20
26,50
51,70
56,46
16,33
50,5
38,9
66,62
8,13
4,40
17,68
52,13
48,69
61,29
22,29
38,42
0,25
40,36
43,47
57,30
70,57
58,0
50,45
20,69
19,45
51,40
25,13
38,58
57,45
35,47
55,18
41,13
23,17
18,4
25,67
14,48
13,1
38,25
32,20
60,56
52,10
47,12
25,1
60,25
57,48
36,63
51,20
60,28
43,21
9,34
43,70
12,24
0,46
35,57
69,67
30,19
26,44
38,62
22,38
14,1
47,13
63,51
21,8
26,0
31,43
36,58
40,55
53,40
37,51
45,33
58,7
64,14
31,70
52,10
49,4
15,59
57,56
14,34
66,57
49,18
14,51
37,50
36,22
40,20
35,52
57,55
4,4
19,13
14,31
14,23
70,26
19,27
43,36
29,10
45,59
31,68
21,38
65,39
57,6
65,31
61,36
40,5
2,25
38,22
44,64
49,39
37,60
58,29
50,56
51,1
55,35
28,32
32,48
38,33
37,16
36,59
0,4
28,21
1,55
37,12
37,25
25,12
1,48
38,52
34,49
33,29
40,46
7,31
13,19
36,70
37,12
32,34
39,54
35,46
26,48
62,0
54,29
37,49
59,10
48,66
20,19
70,26
2,56
59,9
30,15
51,40
12,39
21,24
28,30
9,22
22,56
68,67
35,13
43,50
14,5
51,17
43,44
31,9
57,16
50,55
26,11
10,46
31,45
64,48
18,69
14,34
32,53
52,16
8,25
53,43
36,49
39,5
29,59
52,70
39,34
37,66
34,34
1,24
42,8
40,43
32,24
62,62
34,41
23,50
14,8
14,19
32,17
55,57
63,33
2,30
52,9
12,57
12,14
27,66
9,2
56,45
40,26
68,24
33,43
67,20
38,38
43,28
31,4
27,31
28,41
11,60
40,56
14,48
4,29
15,40
46,30
11,32
20,17
16,3
55,39
5,25
62,23
69,13
69,62
64,64
43,34
46,64
5,36
46,23
45,37
37,26
37,64
55,57
50,66
40,40
14,38
21,63
32,58
42,4
29,67
15,6
39,35
46,48
65,58
30,10
26,64
56,28
5,41
7,63
70,44
24,20
67,58
57,68
29,53
70,61
53,36
44,55
24,17
38,16
19,22
37,65
60,7
63,34
39,35
8,9
13,65
14,6
2,44
9,5
35,38
65,8
23,9
22,66
35,52
22,62
27,27
4,24
5,10
48,19
51,28
6,27
0,68
24,69
20,37
53,37
7,12
39,22
52,12
9,32
31,65
60,4
45,69
9,57
66,56
63,10
16,49
65,63
51,25
51,4
64,41
14,51
49,58
17,19
44,58
53,62
12,50
46,52
36,0
20,39
8,13
58,35
11,20
69,50
53,58
0,63
42,6
48,46
58,28
22,15
41,43
1,48
68,42
10,65
6,2
5,15
9,51
48,51
39,70
37,57
21,64
52,33
16,64
50,36
28,32
56,25
29,66
34,2
49,7
20,3
1,39
31,27
8,2
35,52
53,6
32,45
32,50
24,10
55,62
27,48
7,28
9,12
0,65
48,59
5,50
2,3
22,18
61,15
21,48
66,14
31,66
32,67
41,20
45,1
29,28
37,9
49,28
0,27
24,16
47,18
54,31
19,63
11,12
63,4
27,36
64,26
38,56
56,35
59,62
0,0
38,1
17,33
13,8
23,8
55,24
53,13
40,42
33,37
5,27
6,24
19,67
58,27
42,61
47,30
47,22
39,30
47,64
46,54
2,48
32,51
29,47
46,33
29,52
12,62
2,63
19,54
57,49
15,55
35,44
19,56
55,40
6,69
23,24
15,39
8,3
60,24
30,43
59,30
39,48
69,6
57,64
17,31
12,26
60,18
20,28
17,64
53,55
43,35
56,47
29,66
48,4
27,10
25,22
20,44
20,36
21,24
58,27
49,21
54,57
66,20
35,35
14,56
2,27
30,56
58,10
21,45
66,38
37,4
21,63
32,62
30,1
57,26
68,43
11,33
4,2
34,4
17,37
32,4
55,37
28,21
49,18
3,40
45,36
14,62
29,6
21,66
8,56
66,58
28,60
34,60
3,42
14,5
42,17
0,0
3,13
18,38
25,62
37,19
43,47
15,9
58,47
55,9
61,25
30,59
28,9
11,55
27,50
49,0
27,21
65,20
2,8
58,51
10,3
8,37
20,37
45,11
3,11
43,34
70,64
32,30
38,7
18,65
39,22
24,36
37,34
29,6
35,8
21,25
52,42
4,45
50,63
35,66
65,58
8,34
47,11
42,52
25,58
5,23
25,9
2,27
59,7
62,23
43,66
3,6
52,10
30,68
41,4
48,4
42,1
25,8
37,48
12,51
6,34
3,23
37,55
15,67
56,43
29,38
2,38
14,27
25,29
14,21
53,49
20,47
44,11
29,2
51,42
56,40
0,46
5,50
0,41
25,36
39,70
24,4
24,38
24,12
14,46
41,34
28,66
16,42
69,6
34,46
36,68
13,35
1,13
62,60
44,16
26,61
21,63
62,17
5,47
59,67
60,58
25,6
33,40
33,50
5,57
31,33
10,60
14,54
24,14
55,9
45,28
38,42
30,61
21,59
1,3
57,60
48,49
57,34
45,10
18,67
16,47
38,27
6,26
39,65
17,43
30,2
19,66
13,51
45,0
59,53
5,57
63,59
12,5
44,2
69,68
40,66
53,7
55,58
32,50
69,70
13,30
49,32
33,58
15,45
51,47
17,39
70,65
70,42
0,20
48,52
65,5
14,38
3,58
1,2
17,2
20,6
43,8
6,66
47,20
68,19
16,50
60,50
45,19
27,21
47,11
14,49
66,19
44,60
39,61
68,37
0,8
10,59
25,35
41,67
40,57
31,59
43,30
55,55
64,59
24,36
56,42
2,6
55,12
26,39
62,19
5,56
5,31
51,64
34,63
59,34
10,12
52,64
18,39
4,33
24,34
12,24
60,58
10,23
15,43
24,1
20,6
25,47
19,25
11,32
63,62
24,9
17,29
25,21
13,18
34,20
49,33
22,65
29,14
23,1
59,47
29,7
13,30
13,39
30,48
25,40
14,19
9,26
56,18
50,29
18,52
0,62
43,10
69,37
18,2
12,32
60,49
37,33
57,15
51,42
6,44
66,26
54,18
29,7
48,33
0,43
9,51
67,8
43,23
31,15
62,44
15,26
40,57
9,35
40,1
8,7
49,49
64,64
23,10
67,47
66,48
30,15
8,4
68,41
31,35
40,7
6,43
41,48
41,45
9,7
32,17
4,21
14,54
4,46
28,70
66,66
68,26
19,56
0,59
0,63
3,68
55,29
6,27
20,14
56,20
9,17
46,69
27,55
16,69
18,30
57,45
45,43
25,53
51,44
11,10
24,57
32,15
33,22
70,47
52,16
8,8
19,29
26,28
18,43
57,30
16,19
34,65
16,4
53,46
48,40
1,32
24,47
34,2
32,61
30,30
10,53
32,15
56,33
63,34
49,30
4,53
48,60
24,7
54,0
70,13
62,16
53,70
24,66
23,3
40,7
70,3
36,39
36,28
10,69
7,70
17,70
39,39
31,68
1,61
51,24
57,18
38,26
36,10
0,15
50,63
17,18
1,33
44,52
27,49
17,0
41,50
5,54
13,36
27,35
27,38
26,52
58,39
50,60
56,63
21,13
16,12
48,28
25,25
15,56
42,12
11,60
37,19
41,23
61,54
21,2
41,55
29,18
36,65
23,44
57,2
1,10
70,2
20,15
63,43
38,8
30,11
55,29
39,34
45,41
50,56
7,20
11,58
5,32
60,54
3,16
19,0
30,38
51,61
54,25
14,34
53,60
70,57
23,2
62,13
56,10
58,46
1,32
37,35
18,51
45,33
48,38
17,43
69,34
2,19
15,29
6,48
57,54
64,68
55,54
63,70
33,50
63,57
46,30
36,9
3,69
7,31
7,68
25,30
53,54
21,19
0,45
43,30
36,28
10,11
32,10
13,36
27,14
39,26
14,17
34,21
57,2
38,42
52,23
64,26
17,12
63,37
38,54
40,24
30,51
20,28
14,45
55,70
7,34
42,21
6,52
58,67
56,13
64,15
44,53
42,21
15,37
8,19
9,43
68,61
31,4
32,51
37,48
48,5
7,17
9,43
8,6
30,36
33,10
70,18
28,45
59,6
35,22
42,52
22,13
30,53
51,4
13,60
34,1
62,66
28,59
2,48
5,16
36,53
55,20
5,45
69,37
32,15
70,35
68,0
34,63
23,9
15,7
57,3
0,7
15,32
59,0
14,69
52,1
16,21
66,29
10,69
21,10
34,34
62,51
36,4
29,23
10,4
30,7
6,41
1,24
16,53
54,27
62,14
19,34
37,17
62,11
13,54
12,51
10,7
58,14
24,65
60,59
17,60
32,60
36,56
60,34
16,6
61,43
48,33
5,20
48,41
66,29
12,56
68,62
2,11
9,25
28,66
23,39
10,64
70,17
16,46
52,62
63,60
47,6
61,27
51,25
63,18
9,19
17,1
60,66
6,45
24,3
57,33
13,33
34,9
40,26
21,16
69,31
25,52
1,49
63,4
15,52
29,49
28,60
14,57
50,25
58,60
27,46
67,15
6,23
52,51
70,30
69,18
23,31
40,18
32,51
34,61
43,35
59,58
1,12
54,23
46,12
28,51
64,30
36,9
57,22
55,22
9,60
4,41
8,44
48,29
48,28
16,9
19,40
47,15
20,53
16,68
36,15
0,23
39,64
51,29
46,35
63,66
55,0
6,68
12,43
43,20
20,34
19,52
13,37
12,51
68,28
31,45
43,36
59,12
46,69
37,21
26,45
63,56
52,37
9,67
39,67
37,54
6,65
35,3
7,39
56,35
11,22
29,47
53,53
25,69
15,59
47,59
33,54
4,44
55,11
1,24
46,5
58,33
30,29
33,36
59,45
55,62
64,20
57,60
61,65
56,48
10,66
48,25
16,62
31,55
43,69
38,60
6,41
57,38
68,52
13,0
37,34
32,63
68,19
26,3
27,26
67,28
8,35
23,17
26,3
59,37
31,26
62,66
19,68
5,51
13,40
28,21
64,62
29,35
60,43
55,8
29,47
3,3
23,27
10,38
7,51
70,1
24,39
49,66
39,38
54,6
68,41
20,42
37,55
16,20
61,13
13,66
68,1
33,68
40,16
46,23
14,0
53,42
28,8
14,13
46,48
64,8
67,13
9,28
20,56
67,35
38,12
17,27
1,16
7,38
14,57
11,21
1,20
62,20
51,41
0,58
57,23
2,64
66,26
40,11
19,34
18,24
26,13
63,17
30,56
3,63
19,69
61,22
57,29
70,56
15,45
7,63
18,62
3,12
15,65
62,13
32,68
60,18
33,49
54,8
28,59
62,48
8,11
58,13
35,58
36,12
37,33
6,30
46,40
48,26
3,43
44,59
60,22
21,15
18,50
30,47
11,25
5,48
58,50
62,40
49,53
10,26
68,62
42,7
5,35
17,53
26,52
14,19
45,40
54,8
70,2
6,59
55,23
7,49
3,22
12,25
36,35
46,40
44,68
59,39
12,65
30,63
33,2
44,6
58,60
51,21
12,68
35,13
39,39
55,9
42,29
33,46
18,68
18,37
24,49
17,31
22,38
30,37
50,51
25,60
48,24
27,69
16,53
64,0
5,67
22,44
16,50
42,35
15,69
53,54
58,60
41,7
37,69
42,55
54,60
48,31
2,67
4,42
8,61
51,6
35,34
40,53
11,40
43,51
34,39
11,53
15,24
69,43
53,63
33,53
45,25
10,65
10,29
58,32
64,45
64,61
50,49
5,19
69,29
65,10
49,59
64,37
43,41
3,64
5,39
27,63
28,63
68,65
19,48
39,11
19,59
47,30
39,0
1,15
38,30
45,58
3,64
67,55
12,62
30,56
12,10
12,1
15,40
57,19
62,34
56,58
25,66
18,65
28,69
56,16
33,59
50,30
14,64
66,16
37,41
25,26
37,31
10,18
30,48
2,20
28,34
69,61
17,1
57,49
1,66
27,18
67,34
35,38
4,60
8,61
6,9
29,68
10,42
4,58
64,2
27,64
14,31
70,64
45,6
22,17
58,67
36,64
28,12
14,14
17,20
17,32
28,21
35,39
22,41
43,67
19,9
0,54
29,15
28,50
47,42
13,12
10,0
40,35
69,56
11,1
49,3
3,60
31,21
69,55
29,46
13,58
36,18
34,29
35,39
70,45
52,26
62,18
50,20
31,19
34,16
20,41
68,43
61,56
65,15
23,27
7,37
65,57
23,66
50,28
14,10
6,58
65,20
35,35
3,12
15,37
33,42
27,67
27,11
69,17
58,37
44,34
70,22
26,24
12,26
31,23
42,48
6,19
62,61
33,14
30,49
41,14
62,0
10,4
40,70
48,21
36,42
10,68
52,50
28,61
21,36
51,51
60,4
38,13
24,58
46,25
2,6
58,27
26,38
62,18
47,69
38,46
70,69
68,0
13,61
2,37
20,27
15,24
40,42
37,30
39,65
9,52
45,18
63,54
49,39
53,6
10,44
70,58
70,54
67,65
6,39
70,37
45,2
0,15
47,12
54,7
69,1
53,17
68,37
33,27
2,63
15,49
7,22
2,36
28,28
14,47
27,43
66,55
12,47
38,44
23,57
54,13
40,16
37,37
34,37
26,65
11,49
51,12
18,35
50,19
61,3
57,28
40,67
44,42
40,13
36,36
11,15
31,18
52,40
33,13
58,11
30,25
50,18
16,57
43,22
68,20
33,24
15,48
29,46
19,38
11,43
63,60
38,17
52,69
9,29
20,17
26,18
65,23
2,23
63,67
10,24
21,52
55,34
2,42
3,68
26,62
30,42
7,63
69,33
34,30
60,35
6,50
12,67
26,5
17,9
54,12
52,39
63,40
16,57
20,37
14,0
58,26
15,25
66,47
29,2
70,22
3,46
4,45
36,3
34,22
59,59
45,56
17,24
14,67
18,22
2,52
48,43
3,4
21,55
8,58
37,14
34,67
2,4
28,5
18,66
1,48
9,25
30,37
37,12
59,19
13,32
60,1
65,50
49,28
27,38
9,26
20,29
26,41
47,19
46,62
15,65
68,21
2,48
26,46
67,9
7,22
57,54
14,19
26,4
51,45
42,33
20,70
23,37
58,23
8,47
52,44
0,49
1,45
42,43
17,58
70,40
29,59
35,6
13,64
56,21
13,62
44,58
38,7
37,13
36,7
41,67
48,13
67,47
57,50
20,20
61,12
53,24
42,17
56,65
26,34
1,30
36,19
21,52
53,15
43,66
49,17
51,55
46,57
48,66
49,67
27,35
13,8
22,47
20,38
47,65
62,44
24,53
36,24
3,56
2,23
60,62
10,48
18,35
63,26
9,41
13,47
9,48
11,67
44,0
24,68
66,8
39,52
10,53
64,1
55,43
20,65
49,48
31,45
29,69
63,25
55,39
66,28
22,3
3,0
15,8
63,41
1,60
8,49
70,2
61,6
45,15
10,6
3,7
20,25
3,5
31,10
14,7
15,50
46,58
40,49
13,44
57,36
59,51
3,3
28,69
45,49
1,47
66,57
51,8
37,4
56,59
46,63
66,58
67,55
60,63
63,32
25,70
48,12
16,46
45,63
60,55
47,1
8,24
36,58
53,41
12,12
61,48
0,45
46,70
41,58
10,16
19,33
13,25
58,28
10,63
20,6
46,2
17,48
27,56
33,39
18,35
28,23
65,68
36,63
54,50
56,5
64,25
6,17
16,46
64,44
7,52
26,54
27,46
69,24
31,24
67,44
48,53
17,2
46,20
2,68
2,49
61,9
36,7
38,27
30,50
41,32
69,48
39,22
41,58
12,17
14,38
42,18
6,69
68,27
27,54
70,44
63,35
43,53
64,48
26,33
43,0
38,61
68,68
57,32
51,70
33,3
38,33
51,10
55,49
7,62
25,58
42,10
6,20
30,42
12,32
10,38
14,14
56,67
11,67
11,35
30,3
12,62
33,3
17,10
11,9
42,37
16,9
56,48
68,62
41,64
4,11
19,19
36,6
59,27
3,31
30,51
12,44
22,46
3,20
11,40
28,32
55,27
56,70
70,51
60,26
22,19
19,57
28,52
15,45
53,64
28,3
33,65
43,52
61,53
14,56
70,40
41,45
5,3
58,1
54,20
62,14
44,6
54,23
54,38
3,57
61,7
38,36
55,65
6,35
11,18
28,24
1,9
23,64
63,13
55,9
22,29
28,48
40,64
37,8
48,22
67,53
70,44
7,46
41,65
2,66
55,46
14,32
23,23
44,13
35,28
24,67
22,48
49,50
6,27
37,51
55,9
39,55
21,61
66,15
49,1
36,52
11,40
26,7
58,50
28,9
31,38
14,39
5,58
19,50
38,16
12,43
52,49
27,64
38,8
36,61
36,40
13,45
14,66
26,49
2,7
7,25
8,62
5,7
50,15
29,67
50,15
41,41
48,10
13,52
41,62
18,11
12,24
48,54
66,3
40,69
16,62
8,44
15,41
49,61
40,53
46,27
65,10
17,18
6,33
46,27
11,62
36,53
16,50
39,56
70,56
37,59
19,10
9,36
8,13
2,41
11,54
38,30
46,46
16,2
5,60
45,46
62,15
54,17
17,46
63,50
59,9
13,3
29,4
61,29
46,20
43,53
50,6
62,22
16,6
17,64
62,61
48,50
33,22
25,0
28,65
3,46
48,28
41,3
34,21
19,19
55,35
15,68
39,63
54,17
41,61
9,29
38,53
59,62
7,63
9,20
70,57
39,19
8,33
10,23
11,32
5,22
45,45
53,54
67,69
0,22
46,2
12,65
65,36
36,28
10,59
6,66
36,55
43,62
30,53
69,61
14,16
34,57
17,11
38,39
41,24
16,47
64,35
45,19
8,67
65,28
35,14
67,42
43,69
47,61
22,30
40,48
57,36
35,52
53,59
14,52
13,20
34,66
69,14
45,46
22,12
61,22
16,69
38,11
